City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bilibino,RU,68.0546,166.4372,0.66,90,100,9.48,overcast clouds
79,Magadan,RU,59.5667,150.8,13.15,66,30,2.53,scattered clouds
80,Dingle,PH,10.9995,122.6711,82.89,80,100,13.33,moderate rain
81,New Norfolk,AU,-42.7826,147.0587,53.1,73,86,4.0,overcast clouds
82,Necochea,AR,-38.5473,-58.7368,57.99,64,0,3.69,clear sky
83,Raudeberg,NO,61.9875,5.1352,53.87,37,100,10.87,overcast clouds
84,Alto Araguaia,BR,-17.3147,-53.2153,70.95,68,4,6.04,clear sky
85,Maracai,BR,-22.6106,-50.6672,65.1,59,0,4.9,clear sky
86,San Patricio,US,28.017,-97.5169,58.86,55,98,12.59,overcast clouds
87,Ostrovnoy,RU,68.0531,39.5131,37.11,76,100,21.97,light rain
88,Hauterive,FR,46.0901,3.4459,52.56,88,57,5.99,broken clouds
89,Ponta Do Sol,PT,32.6667,-17.1,67.71,61,88,5.17,overcast clouds
90,Zhigansk,RU,66.7697,123.3711,-22.22,98,100,12.53,overcast clouds
91,Seydi,TM,39.4816,62.9137,48.22,47,99,4.9,overcast clouds
92,Varhaug,NO,58.6147,5.6457,49.89,79,100,42.57,overcast clouds
93,Aras,ES,42.5617,-2.356,50.76,93,0,2.3,clear sky
94,Bengkulu,ID,-3.8004,102.2655,82.94,65,62,11.72,broken clouds
95,Poum,NC,-20.2333,164.0167,78.93,76,82,13.85,broken clouds
96,Clyde River,CA,70.4692,-68.5914,-1.97,71,0,8.05,clear sky
97,Chuy,UY,-33.6971,-53.4616,57.07,69,0,6.44,clear sky
98,Abu Dhabi,AE,24.4667,54.3667,79.97,83,0,2.3,clear sky
99,Prieska,ZA,-29.6641,22.7474,66.42,25,0,5.61,clear sky
100,Mandi Bahauddin,PK,32.5834,73.4843,59.85,54,0,2.77,clear sky
101,Ixtapa,MX,20.7,-105.2,76.23,73,0,5.75,clear sky
102,Celestun,MX,20.8667,-90.4,77.83,74,13,12.48,few clouds
103,Mehamn,NO,71.0357,27.8492,40.95,75,100,19.57,overcast clouds
104,Teguldet,RU,57.3064,88.1667,33.15,97,100,11.5,light snow
105,Maldonado,UY,-34.6667,-54.9167,58.39,63,0,4.23,clear sky
106,Novikovo,RU,51.1537,37.8879,31.8,77,100,9.89,overcast clouds
107,Roma,US,43.2128,-75.4557,32.09,93,100,5.75,light snow
108,Birjand,IR,32.8663,59.2211,32.47,51,0,6.91,clear sky
109,Carnarvon,AU,-24.8667,113.6333,73.4,71,0,19.13,clear sky
110,Mahebourg,MU,-20.4081,57.7,68.25,82,20,4.61,few clouds
111,Tura,IN,25.5198,90.2201,67.39,76,0,2.62,clear sky
112,Anadyr,RU,64.75,177.4833,36.1,93,75,40.26,broken clouds
113,Macomer,IT,40.262,8.7699,55.65,97,100,7.76,overcast clouds
114,Pevek,RU,69.7008,170.3133,3.45,86,100,6.53,overcast clouds
115,Cidreira,BR,-30.1811,-50.2056,65.7,68,0,8.08,clear sky
116,Padang,ID,-0.9492,100.3543,77.05,83,99,3.78,overcast clouds
117,Aklavik,CA,68.2191,-135.0107,0.86,91,15,8.52,few clouds
118,Vila Velha,BR,-20.3297,-40.2925,76.95,96,100,8.05,mist
119,Kaitangata,NZ,-46.2817,169.8464,64.09,67,99,7.83,overcast clouds
120,Placido De Castro,BR,-10.3353,-67.1856,74.1,95,100,1.03,light rain
121,Licheng,CN,23.2955,113.8284,75.52,76,100,3.4,overcast clouds
122,Namatanai,PG,-3.6667,152.4333,85.32,60,100,4.03,overcast clouds
123,Kalmunai,LK,7.4167,81.8167,78.39,85,100,10.02,overcast clouds
124,Avera,US,33.194,-82.5271,51.31,93,100,8.19,light rain
125,Atuona,PF,-9.8,-139.0333,77.99,68,0,14.45,clear sky
126,Tilichiki,RU,60.4667,166.1,25.14,97,100,7.25,snow
127,Georgetown,MY,5.4112,100.3354,82.89,88,20,3.44,few clouds
128,Fairbanks,US,64.8378,-147.7164,12.6,83,0,5.75,clear sky
129,Aksha,RU,50.2814,113.2867,21.97,73,100,2.21,overcast clouds
130,Tuatapere,NZ,-46.1333,167.6833,62.24,67,100,6.38,overcast clouds
131,Dubti,ET,11.7361,41.0853,73.06,48,0,5.64,clear sky
132,Port-Gentil,GA,-0.7193,8.7815,79.39,78,100,11.56,overcast clouds
133,Port Hedland,AU,-20.3167,118.5667,73.45,88,100,0.0,light intensity shower rain
134,Urubicha,BO,-15.3833,-62.95,76.6,60,74,2.86,broken clouds
135,Linxia,CN,35.6003,103.2064,42.04,62,1,1.25,clear sky
136,Pacific Grove,US,36.6177,-121.9166,62.28,71,0,3.0,clear sky
137,Dikson,RU,73.5069,80.5464,-9.44,100,30,3.36,scattered clouds
138,Cherskiy,RU,68.75,161.3,-11.83,92,100,6.93,overcast clouds
139,Danielskuil,ZA,-28.1887,23.5395,63.68,61,2,7.47,clear sky
140,Bethel,US,41.3712,-73.414,38.93,82,100,6.91,snow
141,Marienburg,PL,54.0359,19.0266,44.85,82,100,11.45,overcast clouds
142,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.72,97,100,12.3,moderate rain
143,Hamilton,US,39.1834,-84.5333,41.74,93,100,9.22,light intensity drizzle
144,Karatau,KZ,43.1667,70.4667,36.97,75,99,24.09,overcast clouds
